# discover_multivenue — CHUA VET. Chu chay vet_bsc_token roi dien vetted YYYY-MM-DD.
0xc748673057861a797275cd8a068abb95a902e8de # BabyDoge | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@500+WBNB@10000 uni=WBNB@3000+WBNB@10000+USDT@500+USDT@3000+USDT@10000
0xb2bd0749dbe21f623d9baba856d3b0f0e1bfec9c # DUSK | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3= uni=USDT@10000
0x301d651a47e2193eda6890c07d99917a29702ae6,0x55d398326f99059ff775485246999027b3197955 # RGE | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=USDT v3= uni=
0xdd325c38b12903b727d16961e61333f4871a70e0 # TRUNK | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=
0xe1e93e92c0c2aff2dc4d7d4a8b250d973cad4444 # 恶俗企鹅 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=WBNB@10000+USDT@10000
0x671ecbcb89ee3f85e2199294e723d309d98c4444 # 哭哭马 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=USDT@3000+USDT@10000
0x4338665cbb7b2485a8855a139b75d5e34ab0db94 # LTC | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@500+WBNB@2500+USDT@2500 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
0xd5eaaac47bd1993d661bc087e15dfb079a7f3c19 # KOMA | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@10000 uni=WBNB@100+WBNB@10000+USDT@3000+USDT@10000
0x4b8285ab433d8f69cb48d5ad62b415ed1a221e4f # MCRT | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=USDT@100
0x0b6d8934fc8838b1027b510364a2087317bd4444 # bibi | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=USDT@3000+USDT@10000
0x0df0587216a4a1bb7d5082fdc491d93d2dd4b413 # Cheems | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@2500 uni=USDT@3000+USDT@10000
0x55d398326f99059ff775485246999027b3197955 # USDT | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@100+WBNB@500+WBNB@2500 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000
0x4444b1e4de34df52cf91e30cc7c0336ee03d7c1b # meme rush | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=USDT@3000+USDT@10000
0x925c8ab7a9a8a148e87cd7f1ec7ecc3625864444 # DOYR | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=WBNB@10000+USDT@3000+USDT@10000
0x82ec31d69b3c289e541b50e30681fd1acad24444 # 哈基米 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=USDT@10000 uni=WBNB@10000+USDT@100+USDT@3000+USDT@10000
0xc51a9250795c0186a6fb4a7d20a90330651e4444 # 我踏马来了 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@10000 uni=USDT@3000+USDT@10000
0x932fb7f52adbc34ff81b4342b8c036b7b8ac4444 # Dust | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=WBNB@500+USDT@100+USDT@10000
0xf3525965a4ad3ca0ac13f4d2f237113691194444 # 熊猫头 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=USDT@10000
0xb0ad9c2313b9719ea0ccd43d7e7e1fd07e7cbd90 # DBT | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=USDT v3= uni=USDT@500+USDT@3000+USDT@10000
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82 # Cake | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB+USDT v3=WBNB@100+WBNB@500+WBNB@2500+USDT@500+USDT@2500 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@100+USDT@500+USDT@3000+USDT@10000
0x02e75d28a8aa2a0033b8cf866fcf0bb0e1ee4444 # PALU | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=WBNB@10000+USDT@3000+USDT@10000
0x9f589e3eabe42ebc94a44727b3f3531c0c877809 # TKO | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3= uni=WBNB@10000+USDT@10000
0xac51066d7bec65dc4589368da368b212745d63e8 # ALICE | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3= uni=WBNB@3000+WBNB@10000
0x74ac77d7ca54c38eb5ea2e638a80a5182558d3a2 # SURGE | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=USDT@10000
0x3ac8e2c113d5d7824ac6ebe82a3c60b1b9d64444 # 客服小何 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=WBNB@3000+WBNB@10000+USDT@500+USDT@3000+USDT@10000
0x444416a582466fdae0f2fcdf0a859675f8ff6e9f # MarsCoin | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=
0x51363f073b1e4920fda7aa9e9d84ba97ede1560e # BOB | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=WBNB@500+WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
0x05ad6e30a855be07afa57e08a4f30d00810a402e # TINC | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3= uni=
0xa49fa5e8106e2d6d6a69e78df9b6a20aab9c4444 # DONKEY | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=WBNB@10000+USDT@3000+USDT@10000
0xe92f7fe3eaf61df28b7b75f3faab199333c42302 # MAME | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=USDT@10000
0xcf640fdf9b3d9e45cbd69fda91d7e22579c14444 # gorilla | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=WBNB@3000
0xa524b11473b7ce7eb1dc883a585e64471a734444 # JobIess | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3= uni=USDT@3000+USDT@10000
0xe0e514c71282b6f4e823703a39374cf58dc3ea4f # BELT | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=
0x78f5d389f5cdccfc41594abab4b0ed02f31398b3 # APX | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3= uni=USDT@500+USDT@3000+USDT@10000
0x1ee098cbaf1f846d5df1993f7e2d10afb35a878d # SABLE | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3= uni=
0xa3cfb853339b77f385b994799b015cb04b208fe6 # POP | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3=USDT@100 uni=USDT@100+USDT@500+USDT@3000+USDT@10000
0x3e17ee3b1895dd1a7cf993a89769c5e029584444 # Freedom of Money | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=USDT@3000+USDT@10000
0x1a5f9d77ca46646cd4937fd8d093f460b66f4444 # 老子 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=USDT@3000+USDT@10000
0xf1c599e9a5fbdea408a7409c0176a2fe42c64444 # Hachiko | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=
0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe # XRP | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@2500+USDT@2500 uni=WBNB@500+WBNB@3000+WBNB@10000+USDT@500+USDT@3000+USDT@10000
0x7a848a5a8169aa6a2f603d056a749f924f504444 # CZ | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=USDT@100+USDT@3000+USDT@10000
0x1633b7157e7638c4d6593436111bf125ee74703f # SPS | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3=WBNB@10000 uni=
0x640c04ca09c5c5140e62fef42c59e3afdbbd4444 # 我的刀盾 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3= uni=USDT@10000
0x000ae314e2a2172a039b26378814c252734f556a # ASTER | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@500+WBNB@2500+USDT@500+USDT@2500 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@100+USDT@500+USDT@3000+USDT@10000
0x80f1ff15b887cb19295d88c8c16f89d47f6d8888,0x55d398326f99059ff775485246999027b3197955 # COCO | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=USDT v3=WBNB@2500+USDT@100 uni=USDT@100
0x73b84f7e3901f39fc29f3704a03126d317ab4444 # PUP | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=USDT@10000
0xeca41281c24451168a37211f0bc2b8645af45092 # TPT | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=USDT@10000 uni=USDT@10000
0x1fa4a73a3f0133f0025378af00236f3abdee5d63 # NEAR | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@2500+USDT@2500 uni=WBNB@100+WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
0x4ad663403df2f0e7987bc9c74561687472e1611c # FROG | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=WBNB@10000+USDT@100+USDT@500+USDT@10000
0xeccbb861c0dda7efd964010085488b69317e4444 # 龙虾 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=USDT@2500 uni=WBNB@3000+WBNB@10000+USDT@100+USDT@3000+USDT@10000
0x4b0f1812e5df2a09796481ff14017e6005508003 # TWT | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@2500+USDT@2500 uni=WBNB@500+WBNB@3000+WBNB@10000+USDT@100+USDT@500+USDT@3000+USDT@10000
0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb # SFP | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@2500 uni=WBNB@3000+WBNB@10000+USDT@500+USDT@10000
0xb77a1bd00d9c7ff5e15d70c7f78e4b80e18e4444 # 財務自由 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3= uni=WBNB@10000+USDT@3000+USDT@10000
0x924fa68a0fc644485b8df8abfa0a41c2e7744444 # 币安人生 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@10000+USDT@10000 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@500+USDT@3000+USDT@10000
0x86bb94ddd16efc8bc58e6b056e8df71d9e666429 # TST | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@10000 uni=WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
0xc9882def23bc42d53895b8361d0b1edc7570bc6a # FIST | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB+USDT v3= uni=WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
0x7d03759e5b41e36899833cb2e008455d69a24444 # priceless | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=USDT@100+USDT@3000+USDT@10000
0xa2b726b1145a4773f68593cf171187d8ebe4d495 # INJ | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@10000 uni=WBNB@3000+WBNB@10000+USDT@500+USDT@3000+USDT@10000
